Name,Protocols,TVL
inEVM,7,$252 669
Dash,1,$239 271
LightLink,3,$236 630
Viction,7,$231 787
Zora,4,$229 047
Kardia,7,$198 322
Bitrock,3,$196 895
EnergyWeb,1,$192 935
Ancient8,3,$176 791
Loop,2,$172 393
Step,2,$169 928
DeFiChain EVM,3,$169 455
Endurance,3,$159 776
ALV,2,$149 353
Godwoken,3,$135 584
Massa,1,$135 391
EthereumPoW,18,$126 906
AILayer,6,$121 706
Karura,5,$120 536
MEER,1,$98 640
Matchain,1,$90 525
Polkadex,1,$84 886
Stargaze,3,$83 851
Aura Network,2,$83 185
Bitkub Chain,2,$81 643
Libre,1,$80 922
Comdex,5,$75 822
Newton,1,$75 069
SXnetwork,1,$72 955
Kintsugi,1,$72 123
Areon Network,1,$67 956
Shiden,7,$66 521
Electroneum,2,$58 115
Grove,1,$49 848
Findora,5,$49 613
Crescent,1,$46 585
Neo X Mainnet,2,$38 966
Polkadot,3,$38 558
Concordium,1,$33 385
Syscoin,4,$26 344
JBC,3,$25 671
EOS EVM,8,$25 017
REI,6,$23 018
HPB,1,$21 052
Planq,2,$20 372
Cyber,2,$19 152
Rari,2,$19 050
Ham,2,$17 257
Lachain,3,$16 595
Cube,3,$16 457
MVC,1,$15 684
MultiVAC,3,$14 165
Manta Atlantic,1,$12 331
GoChain,1,$12 158
Callisto,1,$11 735
Darwinia,1,$9 385
Sifchain,1,$8 220
ETHF,1,$7 455
Joltify,2,$7 129
Zeniq,1,$6 320
Bitgert,12,$5 003
OntologyEVM,4,$4 930
REIchain,1,$4 544
Tenet,2,$3 288
Bitnet,1,$3 034
Aeternity,1,$1 485
Milkomeda A1,3,$1 144
Palm,2,"$538,71"
Lung,1,"$424,32"
Asset Chain,1,"$15,19"
Pego,2,"$3,81"
Kusama,1,$0
Celestia,2,$0
BandChain,1,$0
Quicksilver,1,$0
Nibiru,2,$0
Pokt,1,$0
Sommelier,1,$0
Goerli,1,$0
Stride,1,$0
Dexit,3,$0
Omax,2,$0
Fusion,3,$0
Boba_Avax,1,$0
Stafi,1,$0
OXFUN,1,$0
Empire,1,$0
Hoo,4,$0
Echelon,5,$0
CLV,6,$0
DSC,1,$0
ZKsync Lite,3,$0
Nova Network,2,$0
CMP,1,$0
Genshiro,1,$0
Lamden,1,$0
Polis,1,$0
ZYX,1,$0
Ubiq,1,$0
Coti,1,$0
Kekchain,3,$0
MUUCHAIN,1,$0
Tlchain,1,$0
Bitindi,2,$0
Bone,1,$0
Lukso,2,$0
